precinct,registered_voters,baker_electionDay,baker_Mail,baker_Provisional,baker_Total,cates_electionDay,cates_Mail,cates_Provisional,cates_Total,congemi_electionDay,congemi_Mail,congemi_Provisional,congemi_Total,kriseman_electionDay,kriseman_Mail,kriseman_Provisional,kriseman_Total,lassiter_electionDay,lassiter_mail,lassiter_provisional,lassiter_total,nevel_electionDay,nevel_mail,nevel_provisional,nevel_total,total,kriseman_margin,baker_margin,kriseman_share,baker_share,didNotVote,didNotVotePct,thirdParty,thirdPartyPct,turnout,regDem,regRep,regNPA,regOther,regDemPct,regRepPct,regNPAOtherPct
127,1775,49,94,0,143,1,1,0,2,0,0,0,0,291,304,0,595,2,0,0,2,5,11,0,16,758,452,-452,0.3352112676,0.08056338028,1017,0.5729577465,20,0.01126760563,0.4270422535,977,327,446,25,0.5504225352,0.1842253521,0.2653521127
128,2528,72,154,0,226,0,4,0,4,2,3,0,5,221,300,0,521,1,8,0,9,14,13,0,27,792,295,-295,0.2060917722,0.08939873418,1736,0.6867088608,45,0.01780063291,0.3132911392,1212,515,775,26,0.4794303797,0.2037183544,0.3168512658
129,2528,63,217,0,280,0,0,0,0,0,5,0,5,224,329,0,553,0,5,0,5,5,5,0,10,853,273,-273,0.21875,0.1107594937,1675,0.6625791139,20,0.007911392405,0.3374208861,1149,842,1221,24,0.4545094937,0.3330696203,0.4924841772
130,3102,136,532,0,668,0,3,0,3,0,0,0,0,196,485,0,681,0,3,0,3,10,7,0,17,1372,13,-13,0.2195357834,0.2153449387,1730,0.5577047066,23,0.007414571244,0.4422952934,1179,1034,867,22,0.3800773694,0.3333333333,0.2865892972
131,1395,68,124,0,192,0,2,0,2,0,2,0,2,52,94,0,146,0,2,0,2,2,4,0,6,350,-46,46,0.1046594982,0.1376344086,1045,0.7491039427,12,0.008602150538,0.2508960573,583,388,417,7,0.417921147,0.2781362007,0.3039426523
132,1526,48,112,0,160,1,3,0,4,0,5,0,5,63,88,0,151,0,5,0,5,0,5,0,5,330,-9,9,0.09895150721,0.1048492792,1196,0.7837483617,19,0.0124508519,0.2162516383,603,397,519,7,0.3951507208,0.2601572739,0.3446920052
133,1632,80,109,0,189,2,0,0,2,0,1,0,1,91,121,0,212,0,4,0,4,5,9,0,14,422,23,-23,0.1299019608,0.1158088235,1210,0.7414215686,21,0.01286764706,0.2585784314,675,432,508,17,0.4136029412,0.2647058824,0.3216911765
134,1507,46,92,0,138,1,1,0,2,0,1,0,1,152,224,0,376,0,1,0,1,3,6,0,9,527,238,-238,0.2495023225,0.09157266092,980,0.6502986065,13,0.008626410086,0.3497013935,709,355,428,15,0.4704711347,0.2355673524,0.2939615129
135,3454,176,513,0,689,0,1,0,1,0,1,0,1,337,606,0,943,0,3,0,3,8,6,0,14,1651,254,-254,0.2730167921,0.1994788651,1803,0.5220034742,19,0.005500868558,0.4779965258,1432,1114,879,29,0.4145917776,0.3225246091,0.2628836132
136,1816,130,258,0,388,1,0,0,1,1,0,0,1,165,272,0,437,0,2,0,2,3,2,0,5,834,49,-49,0.2406387665,0.2136563877,982,0.5407488987,9,0.004955947137,0.4592511013,679,658,467,12,0.3738986784,0.3623348018,0.2637665198
137,1513,100,180,0,280,0,2,0,2,0,2,0,2,119,223,0,342,1,4,0,5,2,6,0,8,639,62,-62,0.2260409782,0.1850627892,874,0.5776602776,17,0.01123595506,0.4223397224,627,496,375,15,0.41440846,0.3278255122,0.2577660278
138,2754,230,582,0,812,0,3,0,3,0,2,0,2,151,306,0,457,0,0,0,0,2,0,0,2,1276,-355,355,0.1659404503,0.2948438635,1478,0.5366739288,7,0.002541757444,0.4633260712,690,1418,634,12,0.2505446623,0.5148874365,0.2345679012
139,1742,70,159,0,229,1,5,0,6,1,5,0,6,65,143,0,208,0,7,0,7,3,2,0,5,461,-21,21,0.1194029851,0.1314580941,1281,0.7353616533,24,0.01377726751,0.2646383467,728,515,484,15,0.4179104478,0.2956371986,0.2864523536
140,4625,237,571,0,808,1,1,0,2,0,5,0,5,231,522,0,753,1,6,0,7,11,13,0,24,1599,-55,55,0.1628108108,0.1747027027,3026,0.6542702703,38,0.008216216216,0.3457297297,1781,1513,1298,33,0.3850810811,0.3271351351,0.2877837838
141,2104,147,184,0,331,0,1,0,1,1,5,0,6,227,253,0,480,0,1,0,1,5,5,0,10,829,149,-149,0.2281368821,0.1573193916,1275,0.6059885932,18,0.00855513308,0.3940114068,850,656,580,18,0.4039923954,0.3117870722,0.2842205323
142,2332,139,430,0,569,0,4,0,4,1,4,0,5,112,281,0,393,0,4,0,4,1,1,0,2,977,-176,176,0.1685248714,0.2439965695,1355,0.5810463122,15,0.006432246998,0.4189536878,768,954,594,16,0.3293310463,0.4090909091,0.2615780446
143,2162,199,408,0,607,0,1,0,1,0,0,0,0,98,216,0,314,0,1,0,1,0,3,0,3,926,-293,293,0.1452358927,0.2807585569,1236,0.571692877,5,0.002312673451,0.428307123,522,1105,521,14,0.2414431082,0.5111008326,0.2474560592
144,3876,289,705,0,994,0,4,0,4,3,3,0,6,238,392,0,630,0,4,0,4,2,4,0,6,1644,-364,364,0.1625386997,0.2564499484,2232,0.5758513932,20,0.00515995872,0.4241486068,1141,1739,959,37,0.294375645,0.4486584107,0.2569659443
145,1840,103,515,0,618,0,4,0,4,1,2,0,3,83,308,0,391,0,1,0,1,0,4,0,4,1021,-227,227,0.2125,0.3358695652,819,0.4451086957,12,0.00652173913,0.5548913043,607,871,353,9,0.3298913043,0.4733695652,0.1967391304
146,1179,77,120,0,197,3,1,0,4,1,0,0,1,76,109,0,185,0,3,0,3,1,1,0,2,392,-12,12,0.1569126378,0.1670907549,787,0.6675148431,10,0.008481764207,0.3324851569,469,368,332,10,0.3977947413,0.3121289228,0.2900763359
147,1144,67,114,0,181,0,2,0,2,0,0,0,0,55,79,0,134,1,6,0,7,0,0,0,0,324,-47,47,0.1171328671,0.1582167832,820,0.7167832168,9,0.007867132867,0.2832167832,434,353,351,6,0.3793706294,0.3085664336,0.3120629371
150,3227,118,392,0,510,3,3,0,6,1,4,0,5,118,244,0,362,1,4,0,5,6,7,0,13,901,-148,148,0.112178494,0.1580415246,2326,0.7207933065,29,0.00898667493,0.2792066935,1228,1033,951,15,0.3805392005,0.3201115587,0.2993492408
151,1628,94,148,0,242,0,0,0,0,1,2,0,3,76,122,0,198,0,1,0,1,2,2,0,4,448,-44,44,0.1216216216,0.1486486486,1180,0.7248157248,8,0.004914004914,0.2751842752,633,509,478,8,0.3888206388,0.3126535627,0.2985257985
152,1902,89,192,0,281,0,2,0,2,0,1,0,1,67,170,0,237,0,4,0,4,3,7,0,10,535,-44,44,0.1246056782,0.1477392219,1367,0.7187171399,17,0.008937960042,0.2812828601,761,543,588,10,0.4001051525,0.285488959,0.3144058885
153,4027,194,566,0,760,0,8,0,8,2,2,0,4,131,373,0,504,2,7,0,9,3,6,0,9,1294,-256,256,0.1251552024,0.1887260988,2733,0.6786689844,30,0.007449714428,0.3213310156,1460,1382,1155,30,0.3625527688,0.3431835113,0.2942637199
154,1139,119,258,0,377,0,0,0,0,0,0,0,0,63,148,0,211,0,1,0,1,1,0,0,1,590,-166,166,0.1852502195,0.3309920983,549,0.4820017559,2,0.001755926251,0.5179982441,307,595,234,3,0.2695346795,0.5223880597,0.2080772608
155,4115,172,386,0,558,3,3,0,6,1,2,0,3,120,303,0,423,1,6,0,7,0,1,0,1,998,-135,135,0.1027946537,0.1356014581,3117,0.757472661,17,0.004131227217,0.242527339,1424,1419,1240,32,0.3460510328,0.344835966,0.3091130012
